TOKEN	FREQ
في	43
من	40
على	32
الله	20
العنصرية	17
أن	16
الناس	16
الإسلام	15
ولا	15
لا	14
عليه	11
إلى	10
أو	9
قال	9
يا	9
آن	8
التي	7
كما	7
واحد	7
وسلم	7
إلا	6
الإنسان	6
العالم	6
بين	6
صلي	6
النبي	5
ايها	5
تعالى	5
حقوق	5
عن	5
لقد	5
لم	5
له	5
ما	5
وقد	5
ولم	5
وهو	5
إن	4
التمييز	4
الحجرات	4
المسلمين	4
بن	4
خلال	4
فيه	4
قوم	4
كل	4
منها	4
هذه	4
هو	4
أسود	3
أنا	3
ابن	3
الأرض	3
الإنسانية	3
السوداء	3
الصحابة	3
الصلاة	3
العربية	3
العصر	3
القضاء	3
المجتمعات	3
الواحد	3
بل	3
بنت	3
ثم	3
جاء	3
ذلك	3
زيد	3
سورة	3
عربي	3
عصبية	3
عليها	3
عنصريون	3
فضل	3
فقط	3
كيف	3
للقضاء	3
مختلفة	3
منا	3
نحن	3
نظام	3
هل	3
وأن	3
والسلام	3
وهي	3
ويوم	3
يجب	3
أباكم	2
أتقاكم	2
أحمر	2
أخاهم	2
أساس	2
أسامة	2
أسباب	2
أشكال	2
أعجمي	2
أكرمكم	2
أنة	2
أنفسنا	2
أولا	2
أي	2
أيضا	2
إله	2
اعبدوا	2
الآن	2
التاريخ	2
التغيير	2
الجامعة	2
الحقوق	2
الخلق	2
الذي	2
الذين	2
الرقيق	2
الستار	2
السلام	2
السود	2
الضعفاء	2
العبيد	2
العرب	2
العنصري	2
العنف	2
الغرب	2
الغربي	2
الغربية	2
الفكري	2
القرآن	2
القرن	2
الكثير	2
الكرامة	2
اللون	2
المجتمع	2
المرأة	2
المساواة	2
النظرة	2
الوضع	2
بالتقوى	2
بالحديث	2
بعد	2
بعض	2
بلال	2
بما	2
بنى	2
تزوج	2
تصون	2
تغيير	2
جحش	2
جل	2
حتى	2
خطته	2
خلقناكم	2
خيرا	2
دعا	2
ذكر	2
ربكم	2
ربما	2
رضي	2
زينب	2
شعوبا	2
شك	2
ﷺ	2
عام	2
عتيق	2
عسى	2
عند	2
غيرة	2
فآننا	2
فترات	2
فتكا	2
فقال	2
فلا	2
فهذه	2
قد	2
كان	2
لتعارفوا	2
لعربي	2
لكم	2
للإنسان	2
لله	2
لونهم	2
ليس	2
ليعلن	2
مجتمع	2
مظاهر	2
مع	2
معاملة	2
مكان	2
منهم	2
نزل	2
نساء	2
نظرة	2
هذا	2
هي	2
وآن	2
وأنثى	2
والنفسي	2
والي	2
وباء	2
وبناء	2
وتحفظ	2
وجعلناكم	2
وضع	2
وفي	2
وقبائل	2
وقدم	2
ولما	2
وليس	2
ومن	2
يسدل	2
يعاني	2
يكتف	2
يكن	2
يكون	2
آجل	1
آخذها	1
آخر	1
آدم	1
آفلا	1
آلا	1
آلامه	1
آلية	1
آليك	1
آننا	1
آنها	1
آنهم	1
أبرز	1
أبناء	1
أبو	1
أبوه	1
أجمعين	1
أحد	1
أحدهم	1
أحمد	1
أحوج	1
أخت	1
أخوة	1
أدنى	1
أذهب	1
أردنا	1
