TOKEN	FREQ
في	21
من	16
المساواة	11
على	11
العنصرية	10
المتحده	10
العام	9
الأمم	7
الأمين	7
الأجانب	6
قال	6
والتمييز	6
وكراهية	6
آن	5
إلى	5
كما	5
إن	4
العالم	4
ضرورة	4
غوتيريش	4
آجل	3
أكثر	3
التنمية	3
التي	3
الحد	3
الدول	3
العدالة	3
العنصري	3
المتبادل	3
المستدامة	3
انعدام	3
بدون	3
بما	3
تصور	3
داخل	3
ذلك	3
عام	3
كل	3
هذه	3
وأن	3
أجندة	2
أعمال	2
أكرم	2
أمين	2
أن	2
أنطونيو	2
أوجه	2
إدانة	2
إعادة	2
اجتماعي	2
الإنسانية	2
الاحتلال	2
الاقتصادي	2
الباكستاني	2
التمييز	2
التنوع	2
السفير	2
الشمول	2
الصحيه	2
القضاء	2
القيم	2
النظم	2
بالأمم	2
بعد	2
بين	2
بينها	2
ذات	2
عالم	2
عدم	2
عمل	2
كشفت	2
كلمته	2
كوفيد	2
للجميع	2
للعنصرية	2
ما	2
وأضاف	2
والاجتماعي	2
والاحترام	2
والاستعباد	2
والكرامة	2
وبناء	2
وتعزيز	2
وشدد	2
وفيما	2
وقد	2
وكفالة	2
يعني	2
آزمة	1
آمنة	1
أبعادا	1
أحداث	1
أخبار	1
أشكال	1
أشكاله	1
أصل	1
أطلق	1
أعضاؤها	1
أفرادا	1
أفريقي	1
أفضل	1
أقصاؤهم	1
أكبر	1
أهداف	1
أو	1
أي	1
أيضا	1
إبرام	1
إدانتها	1
إستراتيجية	1
إطارها	1
إليه	1
استثمارات	1
اقرها	1
الأبيض	1
الأجيال	1
الأعضاء	1
الأمانة	1
الأمد	1
الأممية	1
الأنشطة	1
الأولويات	1
الإبلاغ	1
الإنسان	1
الاجتماعي	1
الاستثمار	1
الاقتصادية	1
الاقليات	1
الايدلوجيه	1
البشرية	1
البلدان	1
التأكيد	1
التحذير	1
التسامح	1
التصدي	1
التضامن	1
التعافي	1
التعصب	1
التعليم	1
التفاهم	1
التماسك	1
التنوير	1
التنويريه	1
الجائحة	1
الجديدة	1
الجهود	1
الحالي	1
الحصول	1
الحلول	1
الذي	1
السامية	1
السبعة	1
السبيل	1
الشفافية	1
الطعام	1
الظلم	1
العاشر	1
العامة	1
العرقيات	1
العقد	1
العنصر	1
القومية	1
الكامنة	1
الكرامة	1
المؤدى	1
الماضي	1
المتحدة	1
المتساوي	1
المجالات	1
المجتمع	1
المجتمعات	1
المجلس	1
المجموعات	1
المراقبين	1
المرتبطة	1
المساءلة	1
المسلمين	1
المسيحية	1
المشتركة	1
المصدر	1
المعتاد	1
المعركة	1
المغالاة	1
المغزى	1
المقيتة	1
المنحدرين	1
المنهجيين	1
الموجودة	1
الناس	1
النطاق	1
النظر	1
النماذج	1
النهوض	1
الوحيد	1
انتقامية	1
ب	1
بأنحاء	1
باعتباره	1
باعتبارهم	1
بالانتماء	1
بالتقدير	1
بالعنصرية	1
بالقول	1
بالمساواة	1
بالنسبة	1
بتحيزاتنا	1
بتطوير	1
بتفوق	1
بحقوق	1
بدلا	1
بشكل	1
بعض	1
بقوة	1
بقوه	1
بكل	1
بيئة	1
تتطلع	1
تتلاشى	1
تحترم	1
تحفظ	1
تحقيق	1
تدعو	1
تردد	1
تصبح	1
تضع	1
تعددا	1
تعزيز	1
تغيير	1
تفاقم	1
تقوم	1
تكفل	1
تمييز	1
تنامي	1
تهديدا	1
توفير	1
جاء	1
جائحة	1
جديد	1
جزءا	1
جوهر	1
حملة	1
حوار	1
حول	1
خارطة	1
خدمة	1
خطة	1
خلال	1
خوف	1
داخلية	1
دامغة	1
دعم	1
دعوته	1
رئيس	1
سبب	1
سريع	1
سياسات	1
سياسية	1
شجعت	1
شدد	1
شمولا	1
صدمات	1
ضد	1
طريق	1
طويلة	1
عبر	1
عدد	1
عشر	1
عقد	1
عقدها	1
عن	1
عنصرية	1
عنها	1
فرص	1
فعالية	1
فعل	1
فوائد	1
فيما	1
فيها	1
قائلا	1
قائم	1
قادة	1
قرون	1
قلب	1
قوى	1
كان	1
كبيرا	1
كراهية	1
ككل	1
لتحديد	1
لتعزيز	1
لتنامي	1
لحصد	1
لعام	1
للأم	1
للأمم	1
للأمين	1
للتحيز	1
للخدمات	1
للعمل	1
للقضاء	1
للمهمشين	1
لمعالجة	1
له	1
لهما	1
ليحل	1
مبتلى	1
متجذر	1
مجرد	1
مجلس	1
مجموعة	1
محدودية	1
مختلف	1
مرحلة	1
مشددا	1
معا	1
معاداه	1
معاملة	1
مكان	1
مكانها	1
مما	1
منا	1
منير	1
موعد	1
نحتاج	1
نحو	1
نقر	1
هدفا	1
هدفها	1
هذا	1
هناك	1
هو	1
هوياتها	1
وأدوات	1
وأشار	1
وأوضح	1
وإساءة	1
وإعادة	1
واختتم	1
واستدامه	1
واستطرد	1
واقتصادي	1
واقتصادية	1
واكد	1
والأديان	1
والأفراد	1
والأولويات	1
والاستدامه	1
والاعتقاد	1
والتصدي	1
والتعاون	1
والتعبير	1
والتعليم	1
والتماسك	1
والتوظيف	1
والتي	1
والثقافات	1
والخدمات	1
والرعاية	1
والسكن	1
والشعبويه	1
والشمول	1
والعدالة	1
والفرضيات	1
والمؤسسات	1
والمتمثله	1
والمجتمعات	1
والمشاركة	1
والنازية	1
والوصول	1
والوكالات	1
وانعدام	1
وبالنسبة	1
وتشرف	1
وتعد	1
وتعني	1
وتفكيك	1
وتمييزيه	1
وثقافية	1
وخاصة	1
ودعا	1
وصفوها	1
وعدم	1
وعمل	1
وغير	1
وفي	1
وقرون	1
وكانت	1
ومحاربة	1
ومساواة	1
ومع	1
