LEMMA	FREQ
في	74
من	53
خليج	35
على	28
أن	26
عبودي	26
عبد	23
الذي	21
عن	18
دولة	17
إلى	16
كان	16
هذا	16
ماضي	14
لا	13
آمر	12
تاريخ	12
حديث	12
منطقة	12
أسمر	11
بشرة	11
ذو	11
قرن	11
أفريقي	10
شكل	9
قال	9
ما	9
أو	8
بين	8
عربي	8
لكن	8
تم	7
حتى	7
حظر	7
ذلك	7
عام	7
عمل	7
قضية	7
لم	7
أضاف	6
خليجي	6
سكان	6
عشرة	6
مثل	6
ٱنتشر	5
بل	5
تاسع	5
تطرق	5
زال	5
عرب	5
عض	5
عنصرية	5
قانون	5
قطر	5
كيف	5
لؤلؤ	5
ليس	5
مع	5
ٱجتماعي	4
ٱنحدر	4
إبراهيم	4
إذ	4
إن	4
باحث	4
بلد	4
تحدث	4
تعامل	4
جلب	4
حيث	4
خطوة	4
رق	4
شخص	4
عامل	4
عد	4
فرد	4
كويت	4
متحف	4
مدحى	4
مكن	4
ناس	4
هو	4
أدى	3
أصل	3
أفريقيا	3
أكد	3
ٱتخذ	3
استرقاق	3
ب	3
بيد	3
تجارة	3
تغيير	3
تمور	3
ثقافي	3
جاء	3
جد	3
حاجة	3
رغم	3
سخرة	3
سوق	3
شرق	3
عاش	3
عالمي	3
عديد	3
عرقي	3
عوضي	3
قد	3
كبير	3
كتاب	3
كلمة	3
ل	3
لفظ	3
مجتمع	3
مقابل	3
ملف	3
مليون	3
منذ	3
يد	3
يوم	3
آخر	2
أستاذ	2
أشار	2
أكاديمي	2
ألغى	2
أما	2
أمر	2
أمريكي	2
أول	2
ٱتجار	2
ٱختطاف	2
ٱزدياد	2
ٱعتراف	2
ٱقتصر	2
ٱمتلاك	2
ٱنطوى	2
إلا	2
الله	2
بحث	2
بحرين	2
بشر	2
بطيء	2
بعيد	2
بيع	2
تاجر	2
تحت	2
تحرير	2
تحقيق	2
تزاوج	2
تعرض	2
تعلق	2
تغير	2
تفكير	2
تقليدي	2
تواصل	2
ثاني	2
ثري	2
جامع	2
جديد	2
جزء	2
حقب	2
خلال	2
دفع	2
دور	2
دولي	2
ذات	2
ذكر	2
رئيس	2
رحمن	2
رقصة	2
رقيق	2
ركز	2
زمن	2
سار	2
سبب	2
سبيل	2
شعبي	2
شمال	2
صاحب	2
صريح	2
ضوء	2
طلب	2
ظهر	2
عائلة	2
عراق	2
عرف	2
عقبة	2
عقد	2
علاقة	2
عندم	2
فئة	2
فيما	2
قدم	2
كثير	2
كيفية	2
ليوه	2
مؤرخ	2
مثال	2
مستقل	2
مضيف	2
مقابلة	2
ممارسة	2
ميناء	2
نشر	2
نصف	2
نعت	2
هشام	2
هناك	2
هوبر	2
هوية	2
هي	2
واحد	2
وتيرة	2
وطني	2
آثر	1
آجل	1
آذن	1
آس	1
آلف	1
آن	1
آهل	1
أبوظبي	1
أثار	1
أجج	1
