LEMMA	FREQ
في	66
مغربي	49
أسود	48
من	47
على	37
عنصرية	24
مغرب	24
آن	23
إلى	20
هذا	15
قد	12
كان	12
الذي	11
لا	11
أو	10
بشرة	10
ذلك	10
غير	10
ضد	9
حتى	8
ما	8
أن	7
ٱجتماعي	7
رغم	7
وجود	7
أبيض	6
بدأ	6
صحراء	6
عبر	6
مثل	6
مجتمع	6
نفس	6
آمر	5
ذو	5
شعر	5
عبد	5
عض	5
عن	5
عنصري	5
فعل	5
كبري	5
كلمة	5
مشكلة	5
مع	5
نسبة	5
هي	5
و	5
وصف	5
أكثر	4
أنا	4
أنة	4
إنكار	4
بيمبي	4
بين	4
تجارة	4
جنوب	4
حكومة	4
حين	4
رقيق	4
عام	4
عرق	4
غريس	4
قال	4
كن	4
لم	4
مرئي	4
مواطن	4
نشيط	4
أبناء	3
أصل	3
أفريقي	3
انستغرام	3
بدا	3
بلد	3
تشكيل	3
تمييز	3
ثقافة	3
جمال	3
جيش	3
حالة	3
حركة	3
حزب	3
حفيد	3
حق	3
حياة	3
داخل	3
دون	3
ذات	3
رسمي	3
زال	3
سياق	3
عدد	3
عمل	3
قرن	3
لفظي	3
لون	3
مزيج	3
مملكة	3
منذ	3
ناس	3
نظر	3
نكر	3
هو	3
واحد	3
وجه	3
وقت	3
_	2
آلف	2
آلي	2
أحد	2
أخير	2
أساس	2
أستاذ	2
أسد	2
أصلي	2
أطلق	2
أفريقيا	2
أقلية	2
ألف	2
أمام	2
أهمية	2
أولى	2
أيض	2
ٱحترم	2
ٱستخدام	2
ٱسم	2
ٱقترح	2
ٱنبغى	2
إذ	2
إذا	2
إرث	2
إنهاء	2
إهانة	2
بد	2
بداية	2
براق	2
بشر	2
بغيض	2
بقية	2
بيد	2
تجربة	2
تحطيم	2
تصدي	2
تعرضت	2
تغيير	2
تواصل	2
ثاني	2
ثقافي	2
ثلاث	2
جمعية	2
جميع	2
جميل	2
جندي	2
جهد	2
حساب	2
حسب	2
خدمة	2
خلال	2
دقيق	2
رأي	2
راوند	2
رجل	2
رغب	2
رفع	2
زيارة	2
سائد	2
سبب	2
سر	2
سفر	2
سكان	2
سلطة	2
شبه	2
شخص	2
شكل	2
شيء	2
صفحة	2
صوت	2
ضوء	2
طلب	2
طيله	2
ظهر	2
عالم	2
عدم	2
عربي	2
عرف	2
عرقي	2
عقبة	2
عقد	2
عندم	2
عنى	2
غالبية	2
غاية	2
فاطمة	2
فان	2
فرض	2
فنان	2
قرد	2
قصص	2
كاتب	2
كثر	2
كثير	2
كحلوش	2
كما	2
ل	2
لدى	2
لغة	2
لكن	2
مرتكب	2
مرور	2
مستوى	2
مشروع	2
مشهور	2
مكافحة	2
ملك	2
ملكي	2
مواجهة	2
نحو	2
نزاع	2
هناك	2
هوية	2
واقع	2
وضوح	2
وعي	2
يتنصل	2
يشكل	2
يوم	2
آخر	1
آسف	1
آكل	1
آل	1
آلة	1
أب	1
أبدى	1
أبسط	1
أثارة	1
أجير	1
أحب	1
أحسن	1
أخرى	1
أدرك	1
أراد	1
أسمر	1
أصالة	1
أقرب	1
ألم	1
أم	1
أمريكي	1
أمي	1
أنت	1
أنثوي	1
أوان	1
أوربا	1
أولائك	1
أي	1
أين	1
ٱتخاذ	1
ٱجتماع	1
ٱحتاج	1
ٱحتفظ	1
ٱختلف	1
ٱختلق	1
ٱستبعد	1
ٱستحمام	1
ٱستخدم	1
ٱستعبد	1
ٱستغراب	1
ٱستفاد	1
ٱستقلال	1
ٱعتبر	1
ٱعتداء	1
ٱعتراف	1
ٱعتقد	1
ٱعتنى	1
ٱقتصادي	1
ٱقتصر	1
ٱمتلاك	1
ٱنتقاد	1
ٱنتماء	1
ٱنحدر	1
ٱندماج	1
ٱنطلاق	1
ٱنطوى	1
ٱنقطع	1
ٱهتمام	1
إحصاء	1
إخوة	1
إزعاج	1
إسماعيل	1
إشارة	1
إصلاح	1
إضاءة	1
إطار	1
إعلامي	1
إنجليزي	1
إنس	1
إنشاء	1
إيضاح	1
اتحدث	1
اتمني	1
استطع	1
اضطر	1
التنوع	1
المتحدرون	1
المتضررين	1
المتعدده	1
المحليون	1
المرات	1
المعلمه	1
امازيغ	1
انتي	1
انني	1
ب	1
باسو	1
بالغ	1
باني	1
بخاري	1
برز	1
برلمان	1
بزوغ	1
بعد	1
بعض	1
بل	1
بن	1
بناء	1
بوحشيشي	1
بيئة	1
بيض	1
تأسيس	1
تؤثر	1
تابوهات	1
تاريخ	1
تاسس	1
تاون	1
تبييض	1
تتصدي	1
تتمكن	1
تجاوز	1
تجرم	1
تجريم	1
تجميع	1
تجنيد	1
تحليل	1
تحية	1
تدريجي	1
تدشين	1
تراوح	1
تساءل	1
تساؤل	1
تسليط	1
تشريع	1
تشكيلي	1
تصالح	1
تطبيق	1
تعامل	1
تعدي	1
تعرف	1
تعرفت	1
تعليمي	1
تفاجات	1
تفاخر	1
تفكير	1
تقدم	1
تقرير	1
تقشير	1
تقصير	1
تقليل	1
تكرار	1
تلقائي	1
تمام	1
تمليس	1
تنس	1
تنشيء	1
تنظيم	1
تنوع	1
تهمة	1
تهميش	1
توحيد	1
ج	1
جاب	1
جامع	1
جدر	1
جرح	1
جرى	1
جزء	1
جعل	1
جلب	1
جلون	1
جمهوري	1
جنوبي	1
جهة	1
جواز	1
جورج	1
جيد	1
جين	1
حادث	1
حاضر	1
حاكم	1
حال	1
حالي	1
حامل	1
حان	1
حاول	1
حجة	1
حد	1
حديث	1
حرس	1
حرطاني	1
حصة	1
حصر	1
حضور	1
حقيق	1
حقيقي	1
حماسة	1
حمام	1
حماية	1
حمض	1
حمل	1
حملة	1
حول	1
حي	1
حيالها	1
حيث	1
حيوان	1
حيونه	1
خادم	1
خاص	1
خاطب	1
خصوص	1
خمسيني	1
خنزير	1
دائم	1
دار	1
دارج	1
درجة	1
درس	1
درهم	1
دعابة	1
دفاع	1
دفع	1
دلالة	1
دليل	1
دم	1
دنيء	1
ديمغرافيه	1
ذكي	1
ذهاب	1
رائد	1
رائع	1
رابطة	1
ربط	1
ربع	1
رجع	1
رفض	1
رق	1
رقص	1
رهاب	1
رواية	1
روى	1
زنجي	1
زهراء	1
زواج	1
زيادة	1
سائح	1
ساعة	1
ساهم	1
سبتمبر	1
سبعين	1
ستيفن	1
سجن	1
سرد	1
سرعان	1
سعادة	1
سلالة	1
سلطان	1
سلف	1
سمار	1
سمع	1
سنة	1
سهام	1
سوف	1
سياسي	1
سيد	1
سيشكل	1
شأن	1
شائع	1
شابة	1
شارع	1
شارك	1
شاشة	1
شبكة	1
شتى	1
شخصية	1
شرطة	1
شرق	1
شقاق	1
شقيقة	1
شهر	1
شهير	1
صبح	1
صحية	1
صحيح	1
صدر	1
صدمة	1
صدمت	1
صديق	1
صعب	1
صف	1
صوتي	1
صوفيا	1
ضابط	1
ضجة	1
طائفة	1
طائل	1
طاهر	1
طبيب	1
طبيعة	1
طرح	1
طريق	1
طفولة	1
طويل	1
ظل	1
عائلة	1
عاش	1
عاق	1
عامية	1
عبيد	1
عرب	1
عروبة	1
عزى	1
عسكري	1
عشرون	1
عقوبة	1
علاقة	1
علوي	1
عنف	1
عين	1
عيني	1
غالب	1
غامر	1
غرامة	1
غربي	1
غسل	1
غوريلا	1
غيرت	1
فئة	1
فاتن	1
فاق	1
فايسبوك	1
فترة	1
فتنة	1
فجر	1
فرحة	1
فرد	1
فرنسا	1
فرنسي	1
فضل	1
فهم	1
فولكلور	1
فيلاليين	1
فيما	1
قائل	1
قائم	1
قام	1
قانون	1
قبلي	1
قتبو	1
قرار	1
قصر	1
قضاء	1
قضية	1
قلق	1
قوي	1
قيام	1
قيد	1
كافة	1
كافح	1
كامن	1
كانون	1
كبير	1
كتاب	1
كتب	1
كثافة	1
كثب	1
كريم	1
كريه	1
كشف	1
كفى	1
كل	1
كم	1
كناوه	1
كوميدي	1
كيف	1
كينغ	1
لام	1
لامعون	1
لحم	1
لدة	1
لذيذ	1
لفظ	1
لفظة	1
لقب	1
لقي	1
للمره	1
لهجة	1
لو	1
ليس	1
ليلى	1
مؤثر	1
مؤلف	1
مؤيد	1
مادة	1
مبارك	1
مبطن	1
متابع	1
متاح	1
مثير	1
مجال	1
مجاملة	1
مجرد	1
مجهول	1
محاضرة	1
محاولة	1
محظور	1
محمد	1
مختلط	1
مخلص	1
مدة	1
مدرسة	1
مدني	1
مدير	1
مرأة	1
مرددين	1
مرموق	1
مرنيسي	1
مرهق	1
مزيد	1
مساواة	1
مستعبد	1
مستعد	1
مستعينين	1
مسلم	1
مشاركة	1
مطار	1
معاصر	1
معاقبة	1
معتوق	1
معظم	1
معها	1
معهم	1
مفهوم	1
مقاطعة	1
مكانة	1
مكن	1
مليون	1
مماثل	1
ممثل	1
منادى	1
مناهض	1
مناهضة	1
منتشر	1
منتقد	1
مندلع	1
منزل	1
منصة	1
منهج	1
منى	1
منين	1
مهاجر	1
مهمة	1
مواطنة	1
موجود	1
موقع	1
مولاي	1
ناجح	1
ناشط	1
ناهيك	1
نخبة	1
ندوة	1
نسل	1
نسوي	1
نشأ	1
نشر	1
نصف	1
نظام	1
نفسي	1
نقاش	1
نوم	1
نووي	1
هاجم	1
هجوم	1
هدف	1
هل	1
هم	1
هنا	1
وئام	1
واجه	1
واحة	1
واضح	1
والمستمر	1
وبخاصه	1
وتتمني	1
وتتنصل	1
وتصر	1
وجاهة	1
وجد	1
وجهة	1
وجوب	1
وراثي	1
وسط	1
وسطي	1
وسيلة	1
وصل	1
وصول	1
وطن	1
وطني	1
وظيفة	1
وفق	1
وقف	1
وقوف	1
وكانها	1
ولاء	1
ولد	1
ونسلط	1
ويتخطي	1
ويحرضون	1
ويدعون	1
يا	1
يتصل	1
يتضمن	1
يتعرض	1
يتعلق	1
يتعين	1
يتقبل	1
يخص	1
يد	1
يطلب	1
يعد	1
يقر	1
ين	1
يناير	1
ينعتون	1
يوجهه	1
يومي	1
