LEMMA	FREQ
أن	141
في	120
كان	94
من	84
على	55
أسود	52
هذا	52
ما	49
لكن	45
الذي	34
لم	34
إلى	33
لا	32
عندم	29
هو	29
عنصرية	27
قانون	26
ل	26
عنصري	25
تونس	22
أراد	21
أو	20
شخص	20
عمل	20
قد	20
لون	20
قال	19
كل	17
مع	17
هناك	17
أنا	16
ذلك	16
هي	16
بشرة	15
حياة	15
شعر	15
عربي	15
قضية	15
هل	15
ٱستطاع	14
ٱمرأة	14
تمييز	14
حلم	14
عام	14
عن	14
كثير	14
نفس	14
أزياء	13
ب	13
رقم	13
سعد	13
شيء	13
عارض	13
كلمة	13
ناس	13
آمر	12
تونسي	12
راوند	12
زال	12
سبب	12
كمال	12
كيف	12
أبيض	11
أول	11
ٱسم	11
حتى	11
خلال	11
لدى	11
أنت	10
رجل	10
سر	10
عتيق	10
مثل	10
هنا	10
آن	9
أي	9
إساءة	9
تغيير	9
حب	9
حدث	9
شكل	9
طفل	9
ليس	9
مجتمع	9
محكمة	9
تعرض	8
عاش	8
عبد	8
عرف	8
فعل	8
محامي	8
مكن	8
آخر	7
أصبح	7
أكثر	7
أيض	7
ٱبنة	7
ٱرتدى	7
إذا	7
تزوج	7
حذف	7
دائم	7
شكر	7
عاطف	7
عالم	7
مكان	7
نعم	7
أخبر	6
ٱجتماعي	6
بدأ	6
تعامل	6
توقف	6
جديد	6
جعل	6
جمال	6
جميل	6
حالة	6
زواج	6
سائق	6
سنة	6
شركة	6
صغير	6
ضد	6
طويل	6
عض	6
علي	6
قبل	6
كافح	6
لقب	6
لماذا	6
لن	6
لو	6
منذ	6
يوم	6
آجل	5
أحب	5
أسد	5
ٱلتقى	5
بعد	5
بل	5
بيض	5
تواصل	5
حال	5
دليل	5
دون	5
رغب	5
رفض	5
سيارة	5
شعور	5
صالح	5
صورة	5
ظهر	5
عائلة	5
عدم	5
عقوبة	5
عمر	5
فترة	5
فرد	5
فرق	5
فقط	5
كفاح	5
لاس	5
لذيذ	5
مدة	5
مرة	5
نشأ	5
نظر	5
