TOKEN	FREQ
في	68
من	56
على	40
العنصرية	28
إلى	24
السود	24
هذه	24
أو	21
المجتمع	20
اليمن	19
لا	19
التي	16
آن	15
ضد	14
الذي	10
ذلك	10
حيث	9
هذا	9
الأسود	8
الذين	8
المهمشين	8
خلال	8
عن	8
وعي	8
اليمني	7
بشكل	7
قبل	7
ما	7
مثل	7
يتم	7
الأعمال	6
اللون	6
الوعي	6
بعض	6
تجاه	6
حتى	6
عنصرية	6
ولكن	6
ومن	6
وهي	6
إذ	5
العنصري	5
بما	5
تلك	5
تم	5
داخل	5
غير	5
فئة	5
فان	5
كل	5
لهم	5
مظاهر	5
هناك	5
أن	4
الآمر	4
الأعلام	4
الاجتماعي	4
التعليم	4
التمييز	4
الثقافة	4
السوداء	4
الطبقات	4
الناشطات	4
النمطية	4
اليمنية	4
بعد	4
تجسد	4
ذات	4
طبقة	4
فيها	4
كما	4
لون	4
مجتمع	4
مختلف	4
مواجهة	4
وأن	4
وجود	4
وسائل	4
وفي	4
وهذا	4
يتعرضون	4
آجل	3
أحد	3
أخرى	3
أدوارا	3
أي	3
الأولى	3
الاجتماعية	3
البلاك	3
التراتبيه	3
التنمر	3
التواصل	3
الدولة	3
الصورة	3
الطبقي	3
الكثير	3
المثال	3
المظاهر	3
الممثلين	3
الناس	3
النظام	3
الورقة	3
انهم	3
بشرة	3
بين	3
تأتي	3
ترسيخ	3
تسعى	3
تقديم	3
ثم	3
سبيل	3
ضدهم	3
عليهم	3
عنصري	3
غالبا	3
فحسب	3
فعل	3
فيس	3
قد	3
قوانين	3
كانت	3
للتمييز	3
واضحة	3
والثقافية	3
والناشطين	3
ولا	3
يمكن	3
يوجد	3
آنهم	2
آية	2
أداء	2
أسهمت	2
أسود	2
أقل	2
أيضا	2
إدي	2
استكشاف	2
الأبعاد	2
الأجيال	2
الأكثر	2
الإشكالية	2
الإنتاج	2
البعض	2
التعبير	2
التعريفات	2
التلفاز	2
التلفزيونية	2
الثقافية	2
الجمعي	2
الجميع	2
الحديث	2
الحملات	2
الخدم	2
الدرامي	2
الرغم	2
السادة	2
السخرية	2
السلبية	2
السلوكيات	2
الصور	2
العام	2
العبيد	2
العرق	2
الفئات	2
الفئة	2
الفنية	2
القائمين	2
القاذورات	2
القيم	2
المختلفة	2
المدارس	2
المرة	2
المرتبة	2
المشكلة	2
المقرى	2
الممارسة	2
انها	2
بأدوار	2
باتجاه	2
بالعنصرية	2
باللون	2
بدءا	2
بشرتهم	2
بل	2
بهم	2
بوصفهم	2
تؤكد	2
تجاوزها	2
تجسيد	2
تحمل	2
تزال	2
تشكيل	2
تطلق	2
تظل	2
تعكس	2
تعمل	2
تكون	2
توجد	2
ثقافية	2
جعل	2
حقيقة	2
حياتهم	2
دور	2
ردود	2
رسمية	2
سلوك	2
سمراء	2
سيما	2
شكل	2
شمال	2
صبغ	2
ضمن	2
طبقات	2
ظهور	2
عبر	2
عدد	2
عليه	2
عليها	2
فأنة	2
فئات	2
فردية	2
ففي	2
فلا	2
فهم	2
فيه	2
قادرة	2
قام	2
كلمة	2
كيان	2
لقد	2
للعنصرية	2
ليست	2
مؤخرا	2
مبادرات	2
مباشر	2
مختلفة	2
مستقبلا	2
مسلسل	2
مع	2
مفهوم	2
ملايين	2
ممارسة	2
مناطق	2
منطقة	2
نظام	2
نمطية	2
هو	2
والاجتماعية	2
والاندماج	2
والتهميش	2
والسياسية	2
وانتهاء	2
وطرق	2
وفق	2
وكيف	2
ولكنها	2
وهم	2
وهو	2
يؤدي	2
يبدو	2
يعتقد	2
يعكس	2
يعمل	2
يعني	2
يعيشون	2
آثار	1
آخر	1
آنها	1
أبرز	1
أبعادا	1
أبناء	1
أحيانا	1
أخيرة	1
أدنى	1
أدوار	1
أساس	1
أساسيا	1
أساسيات	1
أساسية	1
أسس	1
أصبحت	1
أصحاب	1
أظهار	1
أعلى	1
أعمالهم	1
أقرع	1
أقصائهم	1
أكثر	1
أما	1
أنة	1
أنفسهم	1
أنهم	1
أهداف	1
أهمية	1
أوردها	1
أول	1
أولئك	1
إبقاء	1
إجرامية	1
إحصاءات	1
إحضار	1
إداري	1
إرساء	1
إستراتيجية	1
إضافة	1
إعلاميا	1
إما	1
إنتاج	1
إنكار	1
إهانة	1
اتساع	1
اجتماعيا	1
اختلاطها	1
اختلافات	1
ارتباطات	1
استثناء	1
استعمالها	1
استمرار	1
اشتغلت	1
اصطلاحات	1
اضطهادا	1
اعتبار	1
اقتصاديا	1
الآخرين	1
الآدمية	1
الأتباع	1
الأجهزة	1
الأحيان	1
الأخرى	1
الأدبية	1
الأدراك	1
الأدلة	1
الأساسي	1
الأساسية	1
الأصوات	1
الأصول	1
الأطفال	1
الأعراس	1
الأفلام	1
الأقصاء	1
الأقوال	1
الأكبر	1
الألفاظ	1
الأنواع	1
الأوسط	1
الأيديولوجية	1
الإنتاجات	1
الإنسان	1
الاحتقار	1
الاشتراكي	1
الاعلاميات	1
الاقليه	1
الامتيازات	1
الانتهاكات	1
الانزواء	1
الانساق	1
الانطلاق	1
الاول	1
الباب	1
البدو	1
البرامج	1
البساطة	1
البشرة	1
البشرية	1
البعيد	1
البنية	1
البيئة	1
التاريخ	1
التحقير	1
التشريعات	1
التضارب	1
التعليمية	1
التغيير	1
التقديرات	1
التقسيم	1
التقسيمات	1
التملك	1
التمييزيه	1
التهميش	1
الثالثة	1
الثانية	1
الثقافي	1
الثقافيين	1
