LEMMA	FREQ
أو	15
على	8
تمييز	7
عنصرية	7
من	7
هذا	6
إلى	5
الذي	5
معاملة	5
بين	4
جماعة	4
فروق	4
في	4
هناك	4
آن	3
أخرى	3
أساس	3
اعراق	3
باني	3
بشر	3
تعريف	3
تقسيم	3
شكل	3
صفة	3
عنصري	3
قد	3
مثل	3
مجموعة	3
مختلف	3
موروث	3
و	3
أكثر	2
أن	2
أي	2
ٱجتماعي	2
ٱعتقاد	2
ٱنتماء	2
تبرير	2
ثقافي	2
جسمانية	2
شخص	2
صورة	2
عرق	2
عض	2
علم	2
غير	2
فرق	2
قال	2
كان	2
كما	2
لجوء	2
لدى	2
معين	2
ممارسة	2
ناس	2
هي	2
وجود	2
أثر	1
أخصائي	1
أدنى	1
أمة	1
أولائك	1
أولى	1
أيض	1
ٱجتماع	1
ٱرفض	1
ٱستخدم	1
ٱستند	1
ٱشتمل	1
ٱعتبر	1
ٱلتزام	1
ٱمتياز	1
إثبات	1
إشارة	1
إعلان	1
إنسان	1
اثنيه	1
الاثني	1
الاثنيه	1
الجغرافي	1
الخفيه	1
العرقي	1
العنصري	1
العنصريه	1
المبنيه	1
المتحده	1
المنهجيه	1
النمطيه	1
بسيط	1
بغض	1
تألي	1
تتخذ	1
تتم	1
تجربة	1
تحديد	1
تحرم	1
تسامح	1
تعقيد	1
تعميم	1
تغير	1
تفوق	1
تلفيقة	1
تهميش	1
جل	1
حال	1
حالة	1
حساب	1
حسب	1
حق	1
حي	1
خاضع	1
خلال	1
خلالها	1
دليل	1
دون	1
رغم	1
زمن	1
سلوك	1
سياسة	1
شخصية	1
شعور	1
ضد	1
طبيعة	1
ظهر	1
عالم	1
عبر	1
عرقي	1
عزا	1
علمي	1
عن	1
عنصر	1
فان	1
فانه	1
فرد	1
قام	1
قانوني	1
قدرة	1
قصي	1
قومي	1
قيم	1
كثير	1
كل	1
كيفية	1
لا	1
لكن	1
للعنصريه	1
لون	1
مؤسسة	1
ما	1
مساواة	1
مصطلح	1
معيار	1
مفضلين	1
مفهوم	1
مقسمون	1
مكن	1
منتمي	1
منزلة	1
منفصل	1
نظر	1
نف	1
نوع	1
واعي	1
ويتم	1
يتم	1
يعلنون	1
