TOKEN	FREQ
في	62
من	44
السود	38
على	28
المغرب	23
المغاربة	21
إلى	17
آن	16
العنصرية	16
أو	10
المغربية	10
ضد	9
المغربي	8
غير	8
هذه	8
أن	7
البشرة	7
لا	7
ما	7
الصحراء	6
حتى	6
عبر	6
للعنصرية	6
وقد	6
البيضاء	5
الكبري	5
ذلك	5
رغم	5
عن	5
لكن	5
مثل	5
مغربية	5
و	5
الأسود	4
التي	4
الذي	4
الرقيق	4
السوداء	4
الكلمات	4
المجتمع	4
النشطاء	4
بعض	4
بيمبي	4
بين	4
تجارة	4
غريس	4
مع	4
وهي	4
آننا	3
أكثر	3
أنة	3
الإنكار	3
الحكومة	3
العرق	3
العنصري	3
المملكة	3
الناس	3
انستغرام	3
بالنسبة	3
جنوب	3
حالة	3
حركة	3
داخل	3
دون	3
علينا	3
عنصرية	3
كان	3
كما	3
لقد	3
لم	3
مرئيين	3
منذ	3
هذا	3
وجود	3
وعلى	3
يزال	3
ينكرون	3
_	2
آلف	2
آلي	2
آمر	2
أسود	2
أفريقيا	2
أمام	2
أنا	2
أهمية	2
أيضا	2
إذ	2
إذا	2
إرث	2
إليهم	2
اجتماعية	2
اقترح	2
الآمر	2
الأحيان	2
الأخيرة	2
الأصليين	2
الأفارقة	2
الأقلية	2
الأولى	2
الاجتماعي	2
الاجتماعية	2
البراق	2
البشر	2
البلاد	2
التنوع	2
التواصل	2
الثاني	2
الجمال	2
الذين	2
الرغم	2
السلطات	2
السياق	2
الضوء	2
العبد	2
العبيد	2
العربية	2
اللفظية	2
الملكي	2
الواقع	2
الوعي	2
بدأت	2
بدا	2
بداية	2
برأيها	2
بسبب	2
بوجود	2
بيد	2
تعرضت	2
تلك	2
ثلاثة	2
جميع	2
جيش	2
حزب	2
حينها	2
خلال	2
ذات	2
ذوو	2
ذوي	2
رجل	2
شعري	2
شيء	2
صفحة	2
طيله	2
عام	2
عبيد	2
عدم	2
عقبة	2
عندما	2
غالبية	2
غيرا	2
فاطمة	2
فان	2
فرض	2
فلا	2
قد	2
قرنا	2
قصصهم	2
كانت	2
كتب	2
كثرا	2
كنت	2
لدى	2
للغاية	2
للمغاربة	2
للملك	2
لمكافحة	2
لون	2
مرور	2
مشروع	2
مشكلة	2
مناهضة	2
مواطني	2
نزاع	2
نظرت	2
نفسي	2
هناك	2
هو	2
وآن	2
وأنا	2
واحدة	2
وبدأت	2
وتعني	2
وحتى	2
ولا	2
ومن	2
يتنصل	2
يشكل	2
ينبغي	2
آخر	1
آلا	1
آلاف	1
آلام	1
آناسا	1
آنهم	1
أبسط	1
أبناء	1
أبناؤهم	1
أثارة	1
أجراء	1
أحب	1
أحترمك	1
أحد	1
أحفاد	1
أحفادهم	1
أحياء	1
أخرى	1
أدركت	1
أذكياء	1
أرقص	1
أساس	1
أستاذ	1
أسرتها	1
أسلاف	1
أسيادهم	1
أشكال	1
أشهر	1
أصول	1
أصولك	1
أصولي	1
أطلقت	1
أعتقد	1
أعتني	1
أقرب	1
أقول	1
أكن	1
ألقاب	1
أمها	1
أنت	1
أنحاء	1
أنفسهم	1
أوساط	1
أولئك	1
أي	1
أين	1
إحدى	1
إخوانهم	1
إسماعيل	1
إصلاح	1
إطار	1
إعلامية	1
إنشاء	1
إنكار	1
إنهاء	1
إيضاح	1
اتحدث	1
اتخاذها	1
اتمني	1
استخدام	1
استطع	1
استفاد	1
اسم	1
اضطر	1
اقتصر	1
الآن	1
الآونة	1
الأساس	1
الأستاذة	1
الأسرة	1
الأشخاص	1
الأصالة	1
الأفراد	1
الأفعال	1
الألفاظ	1
الأميركيين	1
الأنثوية	1
الأوصاف	1
الأوقات	1
الإشارة	1
الإضاءة	1
الإنجليزية	1
الإهانة	1
الاجتماع	1
الاستقلال	1
الاعتداءات	1
الاعتراف	1
الاقتصادي	1
الانتماء	1
البالغين	1
البخاري	1
البرلمان	1
البعض	1
البيئة	1
البيض	1
التابوهات	1
التاريخ	1
التبييض	1
التجربة	1
التحية	1
التشكيلي	1
التصدي	1
التعامل	1
التعليمي	1
التفاخر	1
التقصير	1
التمييز	1
التنشئة	1
التهميش	1
الثقافة	1
الجنوب	1
الجنوبية	1
الجهود	1
الجيش	1
الجينات	1
الحاكمة	1
الحال	1
الحالية	1
الحرس	1
الحمام	1
الحياة	1
الخاص	1
الخدمة	1
الخطاب	1
الخمسينيات	1
الدار	1
الدقيق	1
الذهاب	1
الربط	1
الرسمية	1
الرق	1
الزهراء	1
الزواج	1
الساعة	1
السبعينات	1
السفر	1
السكان	1
السلطان	1
السمراء	1
الشائعة	1
الشاشة	1
الشبكات	1
الشرطة	1
الشعر	1
الشهير	1
الشوارع	1
الصحية	1
الصعب	1
الصف	1
الصوت	1
الطاهر	1
الطوائف	1
العالم	1
العامية	1
العدد	1
العرب	1
العرقي	1
العرقية	1
العروبة	1
العزى	1
العسكرية	1
العشرين	1
العلويين	1
الغربية	1
الغوريلا	1
الفتنة	1
الفرحة	1
الفرنسية	1
الفعل	1
الفلكلور	1
الفنان	1
الفنانة	1
الفيلاليين	1
القبلي	1
القرن	1
القرود	1
القصر	1
القضية	1
القوانين	1
القيام	1
الكاتبة	1
الكامن	1
الكثير	1
الكناوه	1
الكوميدي	1
اللغة	1
اللفظي	1
اللهجة	1
اللون	1
المؤيد	1
المبطن	1
المتابعين	1
المتحدرون	1
المتضررين	1
المتعدده	1
المجاملات	1
المجتمعات	1
المحظورات	1
المحليون	1
المخلصين	1
المدرسة	1
المدنية	1
المرأة	1
المرات	1
المرموقة	1
المزيج	1
المزيد	1
المساواة	1
المستعبدين	1
المسلم	1
المشاكل	1
المشكلة	1
المشهور	1
المطار	1
المعتوق	1
المعلمه	1
المقاطعات	1
الممثل	1
المندلع	1
المنهج	1
المواطنون	1
المواطنين	1
الناجحين	1
الناشطة	1
النخبة	1
النسوية	1
النظام	1
النوم	1
النووي	1
الهجوم	1
الوئام	1
الوجاهة	1
الوجه	1
الوجود	1
الوجوه	1
الوراثي	1
الوسائل	1
الوسطي	1
الوصف	1
الوطني	1
الوظائف	1
الوقت	1
الوقوف	1
اليوم	1
اليومية	1
امتلاك	1
انتقاد	1
انتي	1
اندماجي	1
انطلاق	1
انقطعت	1
انني	1
بآمر	1
بأصوات	1
بأنة	1
بأوصاف	1
بإحصاءات	1
باسم	1
باسو	1
بالآلاف	1
بالدارجة	1
بالسجن	1
بالفعل	1
باللغة	1
بالمشكلة	1
بالمغاربة	1
بان	1
بتجنيد	1
بتشكيل	1
بجهود	1
بحاملي	1
بحجة	1
بحسب	1
بحماية	1
بد	1
بدأوا	1
بذوي	1
بزوغ	1
بسعادة	1
بشتى	1
بشرتك	1
بشرتنا	1
بشرتي	1
بشكل	1
بعد	1
بعضنا	1
بغيضة	1
بقية	1
بكثافة	1
بكريمات	1
بل	1
بلدان	1
بما	1
بن	1
بنفسي	1
به	1
بهذا	1
بهذه	1
بوجوب	1
بوحشيشي	1
بوصفها	1
بوضوح	1
بيضاء	1
تأسيس	1
تؤثر	1
تاسس	1
تاون	1
تبدأ	1
تبدو	1
تبدين	1
تتراوح	1
تتصدي	1
تتمكن	1
تجارب	1
تجاوز	1
تجرح	1
تجرم	1
تجميعه	1
تحتفظ	1
تحطيم	1
تحليلات	1
تختلف	1
تدريجي	1
تدشين	1
ترجع	1
تروي	1
تريد	1
تساؤل	1
تسفر	1
تسليط	1
تشبه	1
تشريعا	1
تشكيل	1
تصبح	1
تصدرها	1
تطبيق	1
تعد	1
تعرفت	1
تعرفها	1
تعمل	1
تعوق	1
تغيير	1
تغييرها	1
تفعل	1
تفكير	1
تقدم	1
تقول	1
تكرارهم	1
تكون	1
تلقائيا	1
تماما	1
تمييز	1
تنحدر	1
تنس	1
تنطوي	1
تنظيم	1
تهمة	1
تواجهه	1
ثقافة	1
ثقافية	1
ج	1
جامعة	1
جزءا	1
جعلتك	1
جلبوا	1
جلون	1
جمال	1
جمعيات	1
جمعية	1
جمهورية	1
جميل	1
جميلتان	1
جنود	1
جنوده	1
جهة	1
جوازات	1
جورج	1
جيدة	1
حادثة	1
حاضرة	1
حان	1
حد	1
حديثة	1
حزبان	1
حساب	1
حسابي	1
حسناء	1
حصة	1
حصرا	1
حضورا	1
حق	1
حقا	1
حقيقة	1
حقيقية	1
حماسة	1
حمل	1
حملات	1
حول	1
حياة	1
حياتها	1
حيالها	1
حيث	1
حيونه	1
خصوصا	1
دائمة	1
درهم	1
دروسا	1
دعابة	1
دفعتها	1
دقيق	1
دلالة	1
دليل	1
دمائهم	1
دنيء	1
ديمغرافيه	1
ذاته	1
رائعة	1
رابطة	1
ربع	1
رسميا	1
رسمية	1
رفضت	1
رهاب	1
رواد	1
رواية	1
زنجي	1
زياراتها	1
زيارتي	1
سائحا	1
سائد	1
سبتمبر	1
ستيفن	1
سرد	1
سلالة	1
سمار	1
سهام	1
سود	1
سوف	1
سياسيان	1
سيشكل	1
شأنهم	1
شابة	1
شارك	1
شخص	1
شخصية	1
شرق	1
شعرت	1
شقيقة	1
صحيح	1
صدمت	1
صديق	1
صوتية	1
صوفيا	1
ضباط	1
ضجة	1
طائل	1
طبيبة	1
طبيعتها	1
طرح	1
طريق	1
طفولة	1
طلبا	1
طويلة	1
