TOKEN	FREQ
في	108
أن	79
من	76
ما	42
على	40
إلى	32
لا	31
العنصرية	30
لم	30
عندما	29
هذا	27
كان	25
تونس	22
هو	22
أو	20
كنت	19
السود	18
القانون	17
هذه	17
هناك	17
ولكن	17
أنا	16
التي	16
مع	16
هل	15
سوداء	14
لكن	14
لي	14
الناس	13
كانت	13
أسود	12
ذلك	12
رقم	12
كل	12
كمال	12
لسعد	12
الذي	11
خلال	11
كيف	11
أنها	10
عتيق	10
كلمة	10
لقد	10
هنا	10
أريد	9
أي	9
التمييز	9
العنصري	9
حتى	9
هي	9
أزياء	8
أنت	8
المجتمع	8
عن	8
كثيرا	8
لون	8
يمكن	8
أكثر	7
أول	7
أيضا	7
إذا	7
الآمر	7
العالم	7
القضية	7
المحكمة	7
امرأة	7
بسبب	7
بشرتي	7
دائما	7
عاطف	7
علي	7
عنصرية	7
كانوا	7
ليس	7
نعم	7
يزال	7
أنه	6
الشخص	6
الشركة	6
العام	6
العربي	6
به	6
بيضاء	6
تغيير	6
شكرا	6
كامرأة	6
لأنني	6
لكنني	6
لماذا	6
منذ	6
وهي	6
يكن	6
آجل	5
آمر	5
أستطيع	5
الآن	5
الاجتماعي	5
التواصل	5
التونسيين	5
الجمال	5
اللون	5
بأن	5
بل	5
جميلة	5
سيارة	5
صالح	5
عارضة	5
عاما	5
فقد	5
فقط	5
فيها	5
قبل	5
لست	5
لمدة	5
له	5
مثل	5
مرة	5
نفسي	5
وفي	5
وهو	5
أسرة	4
أشعر	4
أشكال	4
أصبح	4
أفراد	4
أكن	4
أنهم	4
ابنته	4
الأزياء	4
الأسود	4
البشرة	4
الحياة	4
الذين	4
السوداء	4
العرب	4
العمل	4
اليوم	4
بدأت	4
بعد	4
تستطيع	4
تعرضت	4
تكن	4
ثم	4
جدا	4
حياة	4
حياتي	4
دون	4
زيري	4
سعدية	4
سنوات	4
شيء	4
شيئا	4
صغيرة	4
ضد	4
عربي	4
قال	4
قانون	4
قضيته	4
كلا	4
كما	4
لقبي	4
لن	4
لو	4
لينا	4
محاميته	4
معها	4
نشأت	4
وسائل	4
وصمة	4
ولم	4
وهذا	4
يحدث	4
يرى	4
يشعر	4
يقولون	4
أتمنى	3
أحد	3
أخبرتني	3
أخرى	3
أسرتي	3
أصبحت	3
أعتقد	3
أعرف	3
إساءة	3
اسم	3
اسمه	3
الأطفال	3
الأقل	3
البرلمان	3
البيض	3
الحلم	3
السائق	3
العاصمة	3
القضاء	3
الكفاح	3
الله	3
المجال	3
المجلات	3
المنزل	3
بشكل	3
بعض	3
بها	3
بهم	3
بين	3
بينما	3
تجاه	3
تريد	3
تكون	3
تمييز	3
جربة	3
جزيلا	3
حدث	3
خاصة	3
دينار	3
رأينا	3
رجل	3
رجلا	3
سائق	3
سعيدة	3
سهلا	3
سود	3
سوداوات	3
شاء	3
شخصا	3
شعور	3
صفاقس	3
طويل	3
عدم	3
عربية	3
عليه	3
عليها	3
عمري	3
عمله	3
عنصري	3
فأننا	3
فترة	3
فرق	3
قالت	3
قد	3
قعبوط	3
كأشخاص	3
كافة	3
كبيرا	3
لأن	3
لأنه	3
لدى	3
لدي	3
لكنه	3
لكي	3
لهم	3
مثلي	3
محمد	3
مختلف	3
مكان	3
منصة	3
منيمتي	3
موجودة	3
نفس	3
وقد	3
ولذا	3
وما	3
يا	3
يتحدث	3
يتعلق	3
يجب	3
يرغب	3
آبدا	2
آخر	2
آنذاك	2
أبيض	2
أحب	2
أحببته	2
أحيانا	2
أخبرني	2
أرتدى	2
أردت	2
أسمع	2
أشهر	2
أطفاله	2
أظن	2
أغادر	2
أكون	2
ألا	2
أننا	2
أولا	2
ابتسام	2
ابني	2
اخبرت	2
استنادا	2
اكتشفت	2
الآخر	2
الأبيض	2
الأصفر	2
الألفاظ	2
الألوان	2
الأول	2
الإساءة	2
الاعتداءات	2
البداية	2
التحدي	2
التحقيق	2
التنفيذ	2
التونسي	2
التونسية	2
الجديدة	2
الحالة	2
الحكم	2
الخروج	2
الخليج	2
الرجل	2
الرحلة	2
الردع	2
السعودية	2
الشخصية	2
الشعور	2
العبيد	2
العربية	2
العقوبة	2
الفيديو	2
القوانين	2
الكثير	2
المادة	2
المدن	2
المديرة	2
المرأة	2
المزاح	2
المساواة	2
المشغل	2
الممكن	2
النهاية	2
الهامش	2
الواقع	2
اليمن	2
امرأ	2
انتهى	2
بأنه	2
بأنهم	2
باستطاعة	2
بالإرهاق	2
بالتأكيد	2
بالثقة	2
بالكلور	2
بالنسبة	2
بحاجة	2
بدا	2
بداية	2
بذلك	2
بركة	2
بسهولة	2
بشرته	2
بطريقة	2
بعضنا	2
بكثير	2
بلحسن	2
بلد	2
بما	2
بيض	2
تتراوح	2
تتزوج	2
تحب	2
تحسين	2
تخيل	2
ترك	2
تصل	2
تعمل	2
تعيين	2
تكافح	2
تلفزيونية	2
تم	2
تمارس	2
تماما	2
تهميش	2
توفر	2
جئت	2
جديد	2
جديدة	2
جعلتني	2
جلب	2
جنوبا	2
حاجة	2
حالة	2
حالك	2
حاليا	2
حجم	2
حصلت	2
حقيقي	2
حلم	2
حلمي	2
دلالة	2
دليل	2
ذاته	2
زلت	2
زيا	2
سامحنا	2
سبب	2
شخص	2
شعرت	2
طفلة	2
طوال	2
عائلتك	2
عادي	2
عار	2
عارضات	2
عاشت	2
عبارة	2
عبد	2
عبر	2
عبيدا	2
عقوبة	2
عليك	2
علينا	2
عملك	2
عملها	2
عنها	2
غسلت	2
فأن	2
فأنها	2
فحسب	2
فهو	2
فيه	2
قضية	2
قيل	2
كبيرة	2
كسيكسي	2
كشخص	2
كلأنا	2
كله	2
لأعرف	2
لأنهم	2
لحذف	2
لديهم	2
لذا	2
لعبت	2
لمساعدة	2
لمقابلة	2
لها	2
ليدو	2
ماذا	2
مالية	2
متوجهة	2
مجموعة	2
مرحبا	2
مستحيل	2
مستمرة	2
مشكلة	2
مصباح	2
معرفة	2
معظم	2
معه	2
مكاني	2
ملائم	2
ملامحي	2
منصور	2
منظمة	2
منك	2
منها	2
مني	2
مواقع	2
موظفة	2
نادما	2
نتوقف	2
نحو	2
نفسه	2
هنده	2
وأنت	2
واجهتها	2
واحدة	2
والآن	2
والتي	2
وجود	2
وحتى	2
ورغم	2
وفق	2
وقررت	2
وكان	2
ولو	2
يتزوج	2
يحاول	2
يريد	2
يطلقون	2
يفترض	2
يفعلوا	2
يقود	2
يكافح	2
يكون	2
ينتظر	2
_	1
آثرت	1
آخذته	1
آلف	1
آلمني	1
آلن	1
آمنة	1
آننا	1
آهلا	1
آيا	1
أبدأ	1
أبرز	1
أبي	1
أتابع	1
أتاح	1
أتخيله	1
أتذكر	1
أتشجع	1
أتفهم	1
أتمكن	1
أتوافق	1
أثرا	1
أثناء	1
أجرة	1
أجيبهم	1
أحببنا	1
أحبك	1
أحبني	1
أحتاج	1
أحجز	1
أحذف	1
أحذفها	1
أحسست	1
أحلامكم	1
أحلامي	1
أحمر	1
أخبرتها	1
أخريات	1
أدلة	1
أذكره	1
أر	1
أراد	1
أرادوا	1
أراه	1
أراهن	1
أرتد	1
أرتديه	1
أرتديها	1
أرجوك	1
أرغب	1
أرى	1
أريده	1
أريدها	1
أزيائهم	1
أساس	1
أسافر	1
أستخدم	1
أسست	1
أسقاط	1
أسلافه	1
أسلي	1
أسمائهم	1
أسيادا	1
أشاهد	1
أشخاص	1
أشد	1
أشداء	1
أشياء	1
أصابتني	1
أصبت	1
أصحاب	1
أصدق	1
أصرت	1
أصغر	1
أصل	1
أطالعها	1
أطفال	1
أطلب	1
أطول	1
أعامل	1
أعمارهم	1
أعماله	1
أعمل	1
أعيش	1
أغلفة	1
أغمق	1
أفريقية	1
أفكر	1
أقصاها	1
أقوم	1
أكافح	1
أكبر	1
ألتقى	1
ألتقيه	1
ألوان	1
أم	1
أمسكت	1
أمضت	1
أمه	1
أميرة	1
أنحاء	1
أنسى	1
أنظر	1
أنظري	1
أنني	1
أهم	1
أهمل	1
أوجها	1
أوقف	1
أولئك	1
أيد	1
إبلاغ	1
إثبات	1
إحساس	1
إدارة	1
إدانات	1
إذ	1
إذن	1
إرادي	1
إزالة	1
إسعاف	1
إشارة	1
إصرارك	1
إطارا	1
إلا	1
إلاهي	1
إلكترونية	1
إليها	1
إما	1
إمكانات	1
إنجاب	1
إنجاحه	1
إهانته	1
ابتدائيا	1
ابنتك	1
ابنتها	1
ابنيهما	1
اجتماعية	1
احلموا	1
اختراع	1
ادينت	1
ارتداءه	1
ارتكبته	1
ازداد	1
ازدادت	1
استخدام	1
استعادة	1
استمر	1
استمعنا	1
اسمحوا	1
اسمها	1
اسمي	1
اشتكى	1
اعتداءات	1
الآبد	1
الآخرين	1
الأجرة	1
الأحوال	1
الأحيان	1
الأخيرة	1
الأدلة	1
الأساس	1
الأستاذ	1
الأسرة	1
الأسماء	1
الأشخاص	1
الأشقر	1
الأشياء	1
الأصعدة	1
الأصل	1
الأصليين	1
الأعلام	1
الأعمال	1
الأفارقة	1
الأفريقي	1
الأفلام	1
الأمارات	1
الأمل	1
الأوائل	1
الأيام	1
الإساءات	1
الإسعاف	1
الإنكار	1
الاتصال	1
الاتفاق	1
الاحتجاجات	1
الاحتفاء	1
الاختلاف	1
الارتياح	1
الاستقرار	1
الاسم	1
البرتقالي	1
البعض	1
البليستيشن	1
البيت	1
البيضاء	1
التأقلم	1
التالي	1
التالية	1
التجربة	1
التسجيل	1
التسعينات	1
التشريعات	1
التشكيلي	1
التصوير	1
التعامل	1
التعرض	1
التعسفي	1
التعليقات	1
التعليمي	1
التغيير	1
التقيت	1
التنمر	1
التونسيون	1
الثورة	1
الجبهة	1
الجوية	1
الحادث	1
الحافلة	1
الحالات	1
الحالي	1
الحجم	1
الحذاء	1
الحرية	1
الحقيقي	1
الحكومة	1
الحلقات	1
الحمام	1
الحمد	1
الحي	1
الخطأ	1
الخطوط	1
الخفي	1
الخياطة	1
الداخلي	1
الدول	1
الرأي	1
الراب	1
الربيع	1
الرجالية	1
الرد	1
الرغبة	1
الرقص	1
الرقم	1
الرمزية	1
الزرقاوين	1
الزمن	1
الزواج	1
الزي	1
السابق	1
الساحل	1
السار	1
السبب	1
السجن	1
السحر	1
السرعة	1
السلام	1
السهل	1
السوداوات	1
السياسي	1
الشرطة	1
الشوارع	1
الشيء	1
الصف	1
الصور	1
الضحايا	1
الطبيعي	1
العار	1
العارضين	1
العالمية	1
العبودية	1
العدالة	1
العرق	1
العرقية	1
العزيز	1
العشرينيات	1
العقوبات	1
العكس	1
العلاقة	1
العواقب	1
الغرفة	1
الفترة	1
الفرد	1
الفرق	1
الفضول	1
الفن	1
الفيسبوك	1
القانونية	1
القرون	1
القوة	1
الكبير	1
الكبيرة	1
الكشف	1
الكلمات	1
الكلمة	1
الماضي	1
المبطنة	1
المتحدة	1
المتعلق	1
المثالي	1
المجالات	1
المحاكم	1
المحامية	1
المحامين	1
المحتملة	1
المحررين	1
المدني	1
المدينة	1
المرء	1
المرفوقه	1
المستحيل	1
المستقبل	1
المشكلة	1
المصادقة	1
المصممون	1
المصممين	1
المطالبة	1
المعركة	1
المعلمات	1
المفضل	1
المقرون	1
الملايين	1
المنطقة	1
المهني	1
المواقف	1
الموتى	1
الناشطة	1
الناصع	1
النسل	1
النشطاء	1
النظام	1
النظر	1
النعوت	1
النقص	1
النهوض	1
الهاتف	1
الهويتين	1
الوثيقة	1
الوحيد	1
امونه	1
انتفاضة	1
انطلق	1
انطلقت	1
انقسامهم	1
اينما	1
بأبشع	1
بأريحية	1
بأشراك	1
بأعمال	1
بأنك	1
بأننا	1
بأنني	1
بأنها	1
بإنجازها	1
بإهانته	1
بإهانتي	1
بائعة	1
بادعاء	1
بارتداء	1
باعتبارها	1
بالألوان	1
بالأمل	1
بالإساءة	1
بالابتعاد	1
بالتألي	1
بالتمييز	1
بالجمال	1
بالحبس	1
بالخبر	1
بالدونيه	1
بالراحة	1
بالزواج	1
بالشتائم	1
بالشجاعة	1
بالصوت	1
بالطريقة	1
بالعبودية	1
بالعنصرية	1
بالغ	1
بالفعل	1
بالفكاهة	1
بالقانون	1
بالقدرة	1
بالقضاء	1
بالكفاح	1
بالكلمات	1
بالمزيد	1
بالمساواة	1
بامرأتين	1
بتجربة	1
بتشديد	1
بتشغيل	1
بتعجب	1
بتلك	1
بحالة	1
بحذف	1
بحذفها	1
بحق	1
بحيث	1
بد	1
بدء	1
بدنية	1
بدون	1
بذيء	1
برتقاليا	1
بزيادة	1
بسرعة	1
بسمة	1
بسن	1
بشرة	1
بشرتك	1
بشرتهم	1
بشعبية	1
بشعة	1
بشهاداتهم	1
بشيء	1
بصدمة	1
بصراحة	1
بضع	1
بطرق	1
بعام	1
بعدم	1
بعزمي	1
بعقدة	1
بقدر	1
بقية	1
بقيت	1
بك	1
بلدا	1
بلقب	1
بمثابة	1
بمرارة	1
بمساعدة	1
بمكان	1
بموسيقى	1
بن	1
بنفسه	1
بنفسها	1
بهاتفي	1
بهذا	1
بوجود	1
بوظيفته	1
بياض	1
بيضاوات	1
بيع	1
بيننا	1
بينوس	1
تأثير	1
تأخذ	1
تؤمن	1
تبدو	1
تبوء	1
تبين	1
تتخيلي	1
تترافعي	1
تتشرف	1
تتضمن	1
تتطور	1
تتعاطف	1
تتعامل	1
تتعمد	1
تتقبل	1
تتقدم	1
تتم	1
تتناسق	1
تتوقف	1
تجاربنا	1
تجاربي	1
تجارة	1
تجاهلت	1
تجاهله	1
تجعلني	1
تجمع	1
تحبين	1
تحدث	1
تحرير	1
تحطمت	1
تحظى	1
تحقق	1
تحقيق	1
تختلف	1
تخصصوا	1
تدافع	1
تدعي	1
تذكير	1
تربت	1
تربين	1
ترتديها	1
ترسباتي	1
تركة	1
ترى	1
تريدين	1
تريني	1
تزال	1
تزوجت	1
تزيين	1
تساؤلي	1
تستخدم	1
تستطيعين	1
تستمع	1
تسعى	1
تسقط	1
تسمية	1
تشبث	1
تشريعات	1
تشريعيا	1
تشعري	1
تشكيلي	1
تصبح	1
تصبحي	1
تصمم	1
تصور	1
تصورات	1
تضم	1
تضمنت	1
تطرده	1
تطلق	1
تطورت	1
تظهر	1
تعاملت	1
تعاملها	1
تعرض	1
تعرفت	1
تعريفات	1
تعلمت	1
تعني	1
تعين	1
تغير	1
تغييرا	1
تفاصيل	1
تفعل	1
تفعلونه	1
تفكيره	1
تفكيري	1
تقال	1
تقتصر	1
تقدم	1
تقدمت	1
تقديمها	1
تقلقني	1
تقم	1
تقودنا	1
تكبر	1
تكرار	1
تكروني	1
تكوني	1
تلقاء	1
تلك	1
تمت	1
تمثيلنا	1
تملك	1
تملكين	1
تموز	1
تناضل	1
تنال	1
تنتخب	1
تهجم	1
توثيق	1
توقف	1
توقفت	1
تونسي	1
تيأسوا	1
ثانوي	1
ثاني	1
ثوب	1
جارحة	1
جانب	1
جبيبلي	1
جزءا	1
جزيرة	1
جسدك	1
جعلني	1
جمر	1
جمعية	1
جميعا	1
جميل	1
جنوب	1
جورج	1
جولة	1
جيدة	1
جينات	1
حاجز	1
حال	1
حاولت	1
حبيبتي	1
حد	1
حذف	1
حرك	1
حري	1
حسنة	1
حقا	1
حقق	1
حققت	1
حقوق	1
حقيقيا	1
حكمت	1
حكومي	1
حل	1
حلقة	1
حلما	1
حلمت	1
حلمك	1
حلمه	1
حماية	1
حمايتهم	1
حمراء	1
حنين	1
حياته	1
حياتها	1
حياتهم	1
حيز	1
خاصا	1
خاطه	1
خال	1
خانة	1
خبر	1
خسر	1
خطيرة	1
خفف	1
خلف	1
دائرة	1
دخل	1
دعواهما	1
دعيت	1
دقيقة	1
دليلا	1
دورا	1
دوسه	1
دول	1
دولة	1
ديسمبر	1
ذكية	1
ذنبي	1
ذهابي	1
ذهبنا	1
رؤية	1
رائدة	1
رائع	1
راودني	1
رب	1
رجال	1
رحبا	1
رحلتي	1
رسامة	1
رفض	1
رفضت	1
رفضتك	1
رفضتني	1
رفضوا	1
رفع	1
رفعنا	1
ركبتيك	1
ركعت	1
رهيبة	1
زال	1
زالت	1
زخم	1
زملائي	1
زميلة	1
زواج	1
زواجا	1
زواجنا	1
زواجهما	1
زينت	1
سأحدثك	1
سألتها	1
سأنشره	1
ساعة	1
سامة	1
سبيل	1
ستارة	1
ستدخله	1
سترى	1
ستعطيه	1
ستفعل	1
ستنظر	1
سجل	1
سجلت	1
سجله	1
سرقته	1
سريع	1
سكان	1
سكانها	1
سلطة	1
سلمتني	1
سلوك	1
سمعت	1
سنبقى	1
سنة	1
سندا	1
سنين	1
سوءا	1
سودا	1
سودانية	1
سوية	1
سيئا	1
سياحية	1
سيبت	1
سيبدو	1
سيجعله	1
