fileName	TOKEN	TOKEN_VOC	POS	LEMMA	LEMMA_VOC
07_Islamonline_gekuerzt.docx.txt	الإسلام	الإِسْلامُ	noun_prop	إسلام	إِسْلام
07_Islamonline_gekuerzt.docx.txt	ونبذ	وَنَبْذُ	noun	نبذ	نَبْذ
07_Islamonline_gekuerzt.docx.txt	العنصرية	العُنْصُرِيَّةِ	noun	عنصرية	عُنْصُرِيَّة
07_Islamonline_gekuerzt.docx.txt	[	[	punc	[	[
07_Islamonline_gekuerzt.docx.txt	…	…	punc	…	…
07_Islamonline_gekuerzt.docx.txt	]	]	punc	]	]
07_Islamonline_gekuerzt.docx.txt	وقد	وَقَد	part_verb	قد	قَدْ
07_Islamonline_gekuerzt.docx.txt	ظهرت	ظَهَرَت	verb	ظهر	ظَهَر
07_Islamonline_gekuerzt.docx.txt	العنصرية	العُنْصُرِيَّةُ	noun	عنصرية	عُنْصُرِيَّة
07_Islamonline_gekuerzt.docx.txt	منذ	مُنْذُ	conj	منذ	مُنْذُ
07_Islamonline_gekuerzt.docx.txt	خلق	خَلَقَ	verb	خلق	خَلَق
07_Islamonline_gekuerzt.docx.txt	الله	اللّٰه	noun_prop	الله	اللَّه
07_Islamonline_gekuerzt.docx.txt	الحياة	الحَياةَ	noun	حياة	حَياة
07_Islamonline_gekuerzt.docx.txt	على	عَلَى	prep	على	عَلَى
07_Islamonline_gekuerzt.docx.txt	هذه	هٰذِهِ	pron_dem	هذا	هٰذا
07_Islamonline_gekuerzt.docx.txt	الأرض	الأَرْضِ	noun	أرض	أَرْض
07_Islamonline_gekuerzt.docx.txt	،	،	punc	،	،
07_Islamonline_gekuerzt.docx.txt	وتعد	وَتَعَدّ	noun	تعدي	تَعَدِّي
07_Islamonline_gekuerzt.docx.txt	أحد	أَحَدُ	noun	أحد	أَحَد
07_Islamonline_gekuerzt.docx.txt	أسباب	أَسْبابِ	noun	سبب	سَبَب
07_Islamonline_gekuerzt.docx.txt	الفتنة	الفِتْنَةِ	noun	فتنة	فِتْنَة
07_Islamonline_gekuerzt.docx.txt	،	،	punc	،	،
07_Islamonline_gekuerzt.docx.txt	وأبرز	وَأَبْرَزُ	adj	أبرز	أَبْرَز
07_Islamonline_gekuerzt.docx.txt	أسباب	أَسْبابِ	noun	سبب	سَبَب
07_Islamonline_gekuerzt.docx.txt	الحروب	الحُرُوبِ	noun	حرب	حَرْب
07_Islamonline_gekuerzt.docx.txt	والتفرقة	وَالتَفْرِقَةِ	noun	تفرقة	تَفْرِقَة
07_Islamonline_gekuerzt.docx.txt	،	،	punc	،	،
07_Islamonline_gekuerzt.docx.txt	وهي	وَهِيَ	pron	هي	هِيَ
07_Islamonline_gekuerzt.docx.txt	من	مِن	prep	من	مِن
07_Islamonline_gekuerzt.docx.txt	أشد	أَشَدِّ	noun	أشد	أَشَدّ
07_Islamonline_gekuerzt.docx.txt	الأمراض	الأَمْراضِ	noun	مرض	مَرَض
07_Islamonline_gekuerzt.docx.txt	فتكا	فَتْكاً	noun	فتك	فَتْك
07_Islamonline_gekuerzt.docx.txt	بالمجتمعات	بِالمُجْتَمَعاتِ	noun	مجتمع	مُجْتَمَع
07_Islamonline_gekuerzt.docx.txt	،	،	punc	،	،
07_Islamonline_gekuerzt.docx.txt	ولم	وَلَم	part_neg	لم	لَم
07_Islamonline_gekuerzt.docx.txt	يخل	يَخَل	verb	خال	خال
07_Islamonline_gekuerzt.docx.txt	منها	مِنها	prep	من	مِن
07_Islamonline_gekuerzt.docx.txt	أي	أَيّ	pron_rel	أي	أَيّ
07_Islamonline_gekuerzt.docx.txt	عصر	عَصْرٌ	noun	عصر	عَصْر
07_Islamonline_gekuerzt.docx.txt	من	مِن	prep	من	مِن
07_Islamonline_gekuerzt.docx.txt	العصور	العُصُورِ	noun	عصر	عَصْر
07_Islamonline_gekuerzt.docx.txt	.	.	punc	.	.
07_Islamonline_gekuerzt.docx.txt	ولا	وَلا	part_neg	لا	لا
07_Islamonline_gekuerzt.docx.txt	شك	شَكّ	noun	شك	شَكّ
07_Islamonline_gekuerzt.docx.txt	إن	إِن	abbrev	إن	إِن
07_Islamonline_gekuerzt.docx.txt	أبرز	أَبْرَزُ	adj	أبرز	أَبْرَز
07_Islamonline_gekuerzt.docx.txt	مثال	مَثّالٍ	noun	مثال	مَثّال
07_Islamonline_gekuerzt.docx.txt	على	عَلَى	prep	على	عَلَى
07_Islamonline_gekuerzt.docx.txt	العنصرية	العُنْصُرِيَّةِ	noun	عنصرية	عُنْصُرِيَّة
07_Islamonline_gekuerzt.docx.txt	هو	هُوَ	pron	هو	هُوَ
07_Islamonline_gekuerzt.docx.txt	تجارة	تِجارَةُ	noun	تجارة	تِجارَة
07_Islamonline_gekuerzt.docx.txt	الرقيق	الرَقِيقِ	noun	رقيق	رَقِيق
07_Islamonline_gekuerzt.docx.txt	التي	الَّتِي	pron_rel	الذي	الَّذِي
07_Islamonline_gekuerzt.docx.txt	مارستها	مارَسَتْها	verb	مارس	مارَس
07_Islamonline_gekuerzt.docx.txt	بعض	بِعَضِّ	noun	عض	عَضّ
07_Islamonline_gekuerzt.docx.txt	الدول	الدُوَلِ	noun	دولة	دَوْلَة
07_Islamonline_gekuerzt.docx.txt	أو	أَو	conj	أو	أَو
07_Islamonline_gekuerzt.docx.txt	المجتمعات	المُجْتَمَعاتِ	noun	مجتمع	مُجْتَمَع
07_Islamonline_gekuerzt.docx.txt	على	عَلَى	prep	على	عَلَى
07_Islamonline_gekuerzt.docx.txt	ذوي	ذَوَي	noun	ذو	ذُو
07_Islamonline_gekuerzt.docx.txt	البشرة	البَشَرَةِ	noun	بشرة	بَشَرَة
07_Islamonline_gekuerzt.docx.txt	السوداء	السَوْداءِ	noun	أسود	أَسْوَد
07_Islamonline_gekuerzt.docx.txt	في	فِي	prep	في	فِي
07_Islamonline_gekuerzt.docx.txt	فترات	فَتَراتٍ	noun	فترة	فَتْرَة
07_Islamonline_gekuerzt.docx.txt	مختلفة	مُخْتَلِفَةٍ	adj	مختلف	مُخْتَلِف
07_Islamonline_gekuerzt.docx.txt	من	مِن	prep	من	مِن
07_Islamonline_gekuerzt.docx.txt	التاريخ	التارِيخِ	noun	تاريخ	تارِيخ
07_Islamonline_gekuerzt.docx.txt	البشري	البَشَرِيِّ	adj	بشري	بَشَرِيّ
07_Islamonline_gekuerzt.docx.txt	،	،	punc	،	،
07_Islamonline_gekuerzt.docx.txt	فجعلت	فَجَعَلَت	verb	جعل	جَعَل
07_Islamonline_gekuerzt.docx.txt	منهم	مِنهُم	prep	من	مِن
07_Islamonline_gekuerzt.docx.txt	عبيدا	عَبِيداً	noun	عبد	عَبْد
07_Islamonline_gekuerzt.docx.txt	بلا	بِلا	prep	بلا	بِلا
07_Islamonline_gekuerzt.docx.txt	سبب	سَبَبٍ	noun	سبب	سَبَب
07_Islamonline_gekuerzt.docx.txt	إلا	إِلّا	part	إلا	إِلّا
07_Islamonline_gekuerzt.docx.txt	للاختلاف	لِلاِخْتِلافِ	noun	ٱختلاف	ٱِخْتِلاف
07_Islamonline_gekuerzt.docx.txt	في	فِي	prep	في	فِي
07_Islamonline_gekuerzt.docx.txt	اللون	اللَوْنِ	noun	لون	لَوْن
07_Islamonline_gekuerzt.docx.txt	.	.	punc	.	.
07_Islamonline_gekuerzt.docx.txt	إما	إِمّا	conj	إما	إِمّا
07_Islamonline_gekuerzt.docx.txt	اليوم	اليَوْمَ	noun	يوم	يَوْم
07_Islamonline_gekuerzt.docx.txt	،	،	punc	،	،
07_Islamonline_gekuerzt.docx.txt	فآننا	فَآننا	noun	آن	آن
07_Islamonline_gekuerzt.docx.txt	نعيش	نَعِيش	verb	عاش	عاش
07_Islamonline_gekuerzt.docx.txt	عصرا	عَصْراً	noun	عصر	عَصْر
07_Islamonline_gekuerzt.docx.txt	جديدا	جَدِيداً	adj	جديد	جَدِيد
07_Islamonline_gekuerzt.docx.txt	للعنصرية	لِلعُنْصُرِيَّةِ	noun	عنصرية	عُنْصُرِيَّة
07_Islamonline_gekuerzt.docx.txt	المتفشية	المُتَفَشِّيَة	noun	متفشي	مُتَفَشِّي
07_Islamonline_gekuerzt.docx.txt	في	فِي	prep	في	فِي
07_Islamonline_gekuerzt.docx.txt	أشكال	أَشْكالٍ	noun	شكل	شَكْل
07_Islamonline_gekuerzt.docx.txt	وقوالب	وَقَوالِبِ	noun	قالب	قالِب
07_Islamonline_gekuerzt.docx.txt	مختلفة	مُخْتَلِفَةٍ	adj	مختلف	مُخْتَلِف
07_Islamonline_gekuerzt.docx.txt	،	،	punc	،	،
07_Islamonline_gekuerzt.docx.txt	تاره	تاره	noun_prop	تاره	تاره
07_Islamonline_gekuerzt.docx.txt	تغطيها	تغطيها	noun_prop	تغطيها	تغطيها
07_Islamonline_gekuerzt.docx.txt	التكنولوجيا	التِكْنُولُوجِيا	noun	تكنولوجيا	تِكْنُولُوجِيا
07_Islamonline_gekuerzt.docx.txt	،	،	punc	،	،
07_Islamonline_gekuerzt.docx.txt	وتاره	وَتاره	noun_prop	تاره	تاره
07_Islamonline_gekuerzt.docx.txt	تحميها	تَحْمِيها	verb	حمى	حَمَى
07_Islamonline_gekuerzt.docx.txt	حقوق	حُقُوقُ	noun	حق	حَقّ
07_Islamonline_gekuerzt.docx.txt	الإنسان	الإِنْسانِ	noun	إنسان	إِنْسان
07_Islamonline_gekuerzt.docx.txt	،	،	punc	،	،
07_Islamonline_gekuerzt.docx.txt	وأخرى	وَأُخْرَى	adj	أخرى	أُخْرَى
07_Islamonline_gekuerzt.docx.txt	تبررها	تبررها	noun_prop	تبررها	تبررها
07_Islamonline_gekuerzt.docx.txt	مظاهر	مَظاهِرُ	noun	مظهر	مَظْهَر
07_Islamonline_gekuerzt.docx.txt	العولمة	العَوْلَمَةِ	noun	عولمة	عَوْلَمَة
07_Islamonline_gekuerzt.docx.txt	وإفرازات	وَإِفْرازاتِ	noun	إفراز	إِفْراز
07_Islamonline_gekuerzt.docx.txt	التقدم	التَقَدُّم	noun	تقدم	تَقَدُّم
07_Islamonline_gekuerzt.docx.txt	ودواعي	وَدَواعِي	noun	داعي	داعِي
07_Islamonline_gekuerzt.docx.txt	العصرنه	العصرنه	noun_prop	عصرنه	عصرنه
07_Islamonline_gekuerzt.docx.txt	.	.	punc	.	.
07_Islamonline_gekuerzt.docx.txt	ولأن	وَلِأَن	conj_sub	أن	أَنْ
07_Islamonline_gekuerzt.docx.txt	هذا	هٰذا	pron_dem	هذا	هٰذا
07_Islamonline_gekuerzt.docx.txt	الوضع	الوَضْعُ	noun	وضع	وَضْع
07_Islamonline_gekuerzt.docx.txt	واضح	واضِحٌ	adj	واضح	واضِح
07_Islamonline_gekuerzt.docx.txt	للعيان	لِلعِيانِ	noun	عيان	عِيان
07_Islamonline_gekuerzt.docx.txt	ويعيشه	وَيَعِيشه	verb	عاش	عاش
07_Islamonline_gekuerzt.docx.txt	البشر	البَشَرُ	noun	بشر	بَشَر
