TOKEN	FREQ
أو	15
على	8
من	7
إلى	5
العنصرية	5
التمييز	4
بين	4
هناك	4
أخرى	3
اعراق	3
البشر	3
الذين	3
بان	3
في	3
قد	3
مثل	3
هذا	3
و	3
آن	2
أساس	2
أكثر	2
أن	2
أي	2
التقسيم	2
التي	2
العرقي	2
العنصري	2
المعاملة	2
الموروثة	2
الناس	2
بشكل	2
بعض	2
تبرير	2
تعريف	2
جسمانية	2
جماعات	2
صفات	2
عنصريا	2
عنصرية	2
غير	2
فرق	2
فروق	2
كما	2
مختلف	2
معاملة	2
معينة	2
هذه	2
والتمييز	2
يقولون	2
يكون	2
أدنى	1
أسس	1
أولئك	1
أيضا	1
إثباتها	1
إعلان	1
اثنيه	1
اجتماعيا	1
اجتماعية	1
اشتملت	1
اعتقاد	1
الأحوال	1
الأحياء	1
الأشخاص	1
الأفراد	1
الأقصاء	1
الأمم	1
الأولى	1
الإنسان	1
الاثني	1
الاثنيه	1
الاجتماع	1
الاعتقاد	1
الانتماء	1
التزامهم	1
التسامح	1
التعريفات	1
التعميمات	1
الجغرافي	1
الجماعة	1
الخفيه	1
الدلائل	1
الزمن	1
الصفات	1
الصور	1
العرق	1
العنصريه	1
الفروق	1
القومي	1
اللون	1
المؤسسة	1
المبنيه	1
المتحده	1
المجموعات	1
المختلفة	1
المصطلح	1
الممارسات	1
المنتمين	1
المنهجيه	1
النظر	1
النمطيه	1
النوع	1
امتيازات	1
بالتجربة	1
بالتفوق	1
بالرغم	1
باللجوء	1
بالمعاملة	1
بسيط	1
بصورة	1
بطبائع	1
بغض	1
بقيم	1
بوجود	1
تؤثر	1
تتخذ	1
تتم	1
تحديدا	1
تحرم	1
تظهر	1
تعقيدا	1
تغير	1
تقسيمات	1
تقوم	1
تلفيقات	1
تمييزا	1
ثقافية	1
جل	1
حالة	1
حساب	1
حقوقا	1
خاضعة	1
خلال	1
خلالها	1
دون	1
سلوك	1
سياسة	1
شخص	1
شخصية	1
شعور	1
شكلا	1
ضد	1
عبر	1
علم	1
علماء	1
علمية	1
عن	1
فان	1
فانه	1
فروقا	1
قدراتهم	1
كثير	1
كل	1
كيفية	1
لا	1
لانتمائهم	1
لجماعة	1
لدى	1
لديه	1
لعرق	1
للإشارة	1
للعنصريه	1
لمعايير	1
لهذه	1
ما	1
مجموعات	1
مجموعة	1
مفضلين	1
مفهوم	1
مقسمون	1
ممارسة	1
منزلة	1
منفصلة	1
موروثة	1
هي	1
وآن	1
وأخصائيو	1
واعية	1
والتهميش	1
والمساواة	1
وبالتألي	1
وباللجوء	1
وبحسب	1
وثقافية	1
وجود	1
وعزوها	1
وعلم	1
وعناصر	1
وفي	1
وقانونيا	1
ولكن	1
وهي	1
ويتم	1
يتم	1
يرفض	1
يستخدم	1
يستند	1
يعتبرون	1
يعلنون	1
يمكن	1
ينفون	1
