LEMMA	FREQ
في	471
من	375
على	279
أن	229
هذا	195
أسود	180
كان	156
الذي	144
إلى	135
عنصرية	131
لا	123
ما	109
أو	101
آن	91
عن	85
لم	70
قد	66
لكن	66
عنصري	65
ذلك	63
قال	63
هو	62
مجتمع	60
عمل	56
عربي	55
ل	54
مغربي	49
بين	47
تمييز	47
لون	45
هي	45
بشرة	44
ناس	44
عام	43
عبد	43
كل	43
شكل	40
قانون	40
مع	40
آمر	39
حتى	38
مثل	38
ٱجتماعي	37
خليج	37
ضد	37
هناك	35
عندم	34
عض	32
خلال	31
عبودي	30
كثير	30
ليس	30
نفس	30
أي	29
حديث	29
صورة	29
غير	29
آخر	28
دولة	28
شخص	28
أراد	27
عالم	27
الله	26
ب	26
حيث	26
زال	26
شعر	26
قضية	26
أنا	25
قرن	25
كلمة	25
هل	25
حياة	24
كما	24
كيف	24
مغرب	24
أفريقي	23
سبب	23
مختلف	23
أكثر	22
تونس	22
حق	22
مساواة	22
يمن	22
أول	21
بعد	21
تاريخ	21
قبل	21
بل	20
تغيير	20
ثقافة	20
ثقافي	20
راوند	20
مكن	20
واحد	20
وجود	20
وعي	20
أبيض	19
أنة	19
إنسان	19
دون	19
شيء	19
فعل	19
إسلام	18
ذات	18
ذو	18
عاش	18
عرف	18
منطقة	18
أيض	17
تم	17
لدى	17
ماضي	17
يوم	17
أحد	16
ٱبن	16
ٱسم	16
حين	16
ظهر	16
قام	16
هنا	16
أخرى	15
ٱستطاع	15
ٱمرأة	15
إذا	15
إن	15
بدأ	15
تعرض	15
جعل	15
رجل	15
رغم	15
عرب	15
فئة	15
مكان	15
منذ	15
نظر	15
وصف	15
آجل	14
أسمر	14
أصبح	14
جديد	14
حلم	14
خلق	14
فرد	14
قضاء	14
ناشط	14
نسبة	14
نظام	14
وجد	14
أزياء	13
أنت	13
تعامل	13
تمثيل	13
رقم	13
سعد	13
عارض	13
عتيق	13
عدم	13
عرق	13
عنى	13
مواجهة	13
نص	13
نمطي	13
يا	13
يمني	13
أساس	12
أمة	12
إذ	12
بلد	12
تجاه	12
تواصل	12
تونسي	12
ثم	12
حالة	12
حسب	12
داخل	12
دور	12
دين	12
سر	12
عبر	12
فضل	12
كبير	12
كمال	12
مشكلة	12
وجه	12
يتم	12
أسد	11
أم	11
المتحده	11
بشر	11
تهميش	11
جاء	11
جنوب	11
حدث	11
طبقة	11
طريق	11
فان	11
فقط	11
كتاب	11
كشف	11
مظهر	11
ممارسة	11
نظرة	11
أرض	10
أمين	10
إساءة	10
إقليم	10
إلا	10
بدا	10
بن	10
تزوج	10
جمال	10
حقيقي	10
حكم	10
رفض	10
زواج	10
سكان	10
طفل	10
عدد	10
عشرة	10
عصر	10
علم	10
متخيل	10
مسلم	10
هم	10
و	10
وسيلة	10
وضع	10
أولى	9
تجارة	9
تحقيق	9
ثاني	9
جاب	9
جميع	9
حال	9
حب	9
حيوان	9
خدمة	9
دليل	9
رسمي	9
رقيق	9
زمن	9
زنج	9
سبيل	9
سلم	9
سلوك	9
سنة	9
صاحب	9
عائلة	9
عانى	9
عرقي	9
عقد	9
علي	9
فترة	9
كراهية	9
كم	9
لغة	9
لو	9
مجال	9
محكمة	9
موقف	9
نبي	9
