fileName	TOKEN	TOKEN_VOC	POS	LEMMA	LEMMA_VOC
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	العنصرية	العُنْصُرِيَّةُ	noun	عنصرية	عُنْصُرِيَّة
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	ضد	ضِدّ	noun	ضد	ضِدّ
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	السود	السُودُ	noun	أسود	أَسْوَد
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	في	فِي	prep	في	فِي
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	اليمن	اليَمَنِ	noun_prop	يمن	يَمَن
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	:	:	punc	:	:
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	المظاهر	المَظاهِرُ	noun	مظهر	مَظْهَر
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	وسبل	وَسَبَلُ	noun	سبل	سَبَل
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	المواجهة	المُواجَهَةِ	noun	مواجهة	مُواجَهَة
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	5أغسطس	5أغسطس	digit	5أغسطس	5أغسطس
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	2021	2021	digit	2021	2021
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	محمد	مُحَمَّد	noun_prop	محمد	مُحَمَّد
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	المحفلي	المحفلي	noun_prop	محفلي	محفلي
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	،	،	punc	،	،
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	باحث	باحِثٌ	noun	باحث	باحِث
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	تابع	تابِعٌ	adj	تابع	تابِع
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	لمركز	لِمَرْكَزِ	noun	مركز	مَرْكَز
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	دراسات	دِراساتِ	noun	دراسة	دِراسَة
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	الشرق	الشَرْقِ	noun_prop	شرق	شَرْق
04_Rassismus_im_Jemen_gekuerzt_und_ohne_Fussnoten.docx.txt	الأوسط	الأَوْسَطِ	adj	أوسط	أَوْسَط
