fileName	TOKEN	TOKEN_VOC	POS	LEMMA	LEMMA_VOC
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	تونس	تُونِس	noun_prop	تونس	تُونِس
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	:	:	punc	:	:
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	الواقع	الواقِعُ	noun	واقع	واقِع
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	الخفي	الخَفِيُّ	adj	خفي	خَفِيّ
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	للعنصرية	لِلعُنْصُرِيَّةِ	noun	عنصرية	عُنْصُرِيَّة
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	ضد	ضِدَّ	noun	ضد	ضِدّ
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	السود	السُودِ	noun	أسود	أَسْوَد
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	BBC	BBC	foreign	BBC	BBC
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	News	News	foreign	News	News
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	عربي	عَرَبِيٌّ	adj	عربي	عَرَبِيّ
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	،	،	punc	،	،
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	02	02	digit	02	02
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	.	.	punc	.	.
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	08	08	digit	08	08
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	.	.	punc	.	.
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	2022	2022	digit	2022	2022
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	https	https	foreign	https	https
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	:	:	punc	:	:
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	/	/	punc	/	/
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	/	/	punc	/	/
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	www	www	foreign	www	www
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	.	.	punc	.	.
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	youtube	youtube	foreign	youtube	youtube
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	.	.	punc	.	.
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	com	com	foreign	com	com
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	/	/	punc	/	/
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	watch	watch	foreign	watch	watch
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	?	?	punc	?	?
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	v	v	foreign	v	v
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	=	=	punc	=	=
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	WLpRTLD	WLpRTLD	foreign	WLpRTLD	WLpRTLD
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	_	_	punc	_	_
05_Tunesien_Film_Transkript_ohne_Englisch.docx.txt	0F4	0F4	digit	0F4	0F4
