TOKEN	FREQ
في	67
من	51
الخليج	35
على	24
العبودية	23
عن	18
أن	16
إلى	15
دول	14
البشرة	11
التي	11
السمراء	11
ذوي	11
لا	10
القرن	9
أو	8
الحديث	8
العبيد	8
الماضي	8
منطقة	8
الآمر	7
بشكل	7
بين	7
تم	7
ذلك	7
لم	7
ما	7
هذا	7
هذه	7
العربية	6
تاريخ	6
عشر	6
وفي	6
التاسع	5
الذين	5
بعض	5
بل	5
حتى	5
عام	5
عبد	5
قطر	5
كانت	5
مثل	5
مع	5
وأضاف	5
يقول	5
إذ	4
إن	4
الأفارقة	4
الإبراهيم	4
التاريخ	4
العمل	4
المنطقة	4
تنتشر	4
حيث	4
عبيد	4
كان	4
كعبيد	4
لكن	4
ماضيها	4
أدى	3
أسواق	3
أفريقيا	3
أنه	3
التمور	3
الحديثة	3
الذي	3
الرق	3
السكان	3
العالمي	3
العديد	3
العرب	3
العوضي	3
القضية	3
الكويت	3
الناس	3
بالآمر	3
بيد	3
تزال	3
جلبهم	3
خطوات	3
سكان	3
قال	3
قضية	3
ليس	3
ملف	3
منذ	3
واللؤلؤ	3
وكيف	3
وهو	3
يعد	3
يمكن	3
أستاذ	2
أصحاب	2
أصول	2
أفارقة	2
أفراد	2
أفريقية	2
أما	2
أنهم	2
أول	2
إلا	2
اتخذت	2
ازدياد	2
الأشخاص	2
الأفراد	2
الأمريكية	2
الأمور	2
الاجتماعي	2
الاجتماعية	2
الاعتراف	2
الباحث	2
البحرين	2
البلاد	2
التجار	2
التزاوج	2
التطرق	2
التفكير	2
التقليدي	2
التواصل	2
الثاني	2
الجامعة	2
الخليجية	2
الدولية	2
الرحمن	2
الرقيق	2
الضوء	2
الطلب	2
العاملة	2
العراق	2
العنصرية	2
القوانين	2
الكبير	2
الكيفية	2
اللؤلؤ	2
الله	2
الليوه	2
المتحف	2
المثال	2
المستقل	2
المقابل	2
النصف	2
الوطنية	2
اليوم	2
امتلاك	2
بالعبودية	2
بتاريخ	2
بسبب	2
بطيئة	2
بلدان	2
بها	2
بوتيرة	2
تحت	2
تسير	2
تعاملت	2
تغيير	2
جاءوا	2
حاجة	2
حظر	2
حظرت	2
خلال	2
خليجيون	2
دفع	2
ذات	2
ذكر	2
