TOKEN	FREQ
في	419
من	330
على	222
أن	136
إلى	127
السود	115
العنصرية	110
أو	101
لا	91
هذه	83
ما	82
التي	72
هذا	71
عن	70
لم	53
آن	52
ذلك	42
الناس	41
بين	40
كان	40
هو	40
الخليج	37
الذي	37
المجتمع	36
مع	35
هناك	35
عندما	34
كل	32
حتى	31
خلال	31
ضد	31
كما	30
أي	29
ولا	29
لكن	27
مثل	27
الذين	26
الله	26
كانت	26
البشرة	25
العنصري	25
لقد	25
ولكن	25
التمييز	24
العبودية	24
هل	24
أنا	23
المغرب	23
بعض	23
وهي	23
الآمر	22
العربي	22
تونس	22
حيث	22
عنصرية	22
قال	22
المغاربة	21
اليمن	21
بشكل	21
كنت	21
أسود	20
العالم	20
القانون	20
بل	20
وفي	20
العام	19
عليه	19
غير	19
ليس	19
هي	19
أكثر	18
وقد	18
وهو	18
الأسود	17
الإسلام	17
العربية	17
القرن	17
كيف	17
له	17
الحديث	16
العبيد	16
المساواة	16
تم	16
لي	16
هنا	16
يمكن	16
أيضا	15
إن	15
السوداء	15
اللون	15
دول	15
دون	15
ذوي	15
سوداء	15
منذ	15
ولم	15
آجل	14
الاجتماعي	14
بعد	14
عام	14
فيها	14
قبل	14
قد	14
لون	14
يكن	14
العرب	13
بما	13
كلمة	13
ومن	13
يا	13
أحد	12
أنها	12
إذ	12
الإنسان	12
التاريخ	12
التواصل	12
السمراء	12
القضية	12
بسبب	12
تجاه	12
تغيير	12
ثم	12
داخل	12
رقم	12
عبر	12
عتيق	12
كمال	12
لسعد	12
للعنصرية	12
وأن	12
يتم	12
يزال	12
أنة	11
أنه	11
أول	11
الثقافة	11
المتحده	11
المتخيل	11
النمطية	11
تكون	11
ذات	11
فان	11
فقط	11
فيه	11
وجود	11
وهذا	11
آمر	10
أخرى	10
إذا	10
إلا	10
العمل	10
الماضي	10
المغربية	10
اليوم	10
بن	10
تلك	10
علي	10
فقد	10
كانوا	10
لهم	10
مختلف	10
منطقة	10
و	10
واحد	10
والتمييز	10
أريد	9
أنت	9
الأفارقة	9
البشر	9
الدين	9
الصور	9
العرق	9
الوعي	9
عربي	9
عشر	9
عليها	9
كثيرا	9
منها	9
يشعر	9
يقول	9
آخر	8
أزياء	8
أشكال	8
الآخرين	8
الآن	8
الأمم	8
الأولى	8
الجمال	8
الرقيق	8
القضاء	8
الكثير	8
المغربي	8
المهمشين	8
بالنسبة	8
بشرتي	8
به	8
حالة	8
عبد	8
عدم	8
عنصري	8
لدى	8
لها	8
مجتمع	8
مختلفة	8
منهم	8
نفسي	8
وسائل	8
وعي	8
يكون	8
يوجد	8
آلف	7
أساس	7
أصبح	7
أنهم	7
الأعمال	7
الأمين	7
الاجتماعية	7
البيضاء	7
الحياة	7
السودان	7
الشخص	7
الصحراء	7
المحكمة	7
اليمني	7
امرأة	7
بان	7
بهم	7
بيضاء	7
تاريخ	7
تجارة	7
تزال	7
حقوق	7
دائما	7
سبيل	7
شيء	7
عاطف	7
عبيد	7
فلا	7
لو	7
مظاهر	7
مكان	7
نعم	7
وأضاف	7
وابن	7
وسلم	7
وعلى	7
وكيف	7
يتعلق	7
يجب	7
يرى	7
يعني	7
أستطيع	6
أفراد	6
أفريقيا	6
أمام	6
الآخر	6
الأجانب	6
الأرض	6
الإنسانية	6
الاستفراق	6
البعض	6
الرق	6
الزنوج	6
الشركة	6
القوانين	6
المثال	6
المجتمعات	6
المرأة	6
النظام	6
بأن	6
بدأت	6
بها	6
تعرضت	6
تكن	6
جنوب	6
رجل	6
رغم	6
شكرا	6
صلي	6
علينا	6
عمل	6
فئة	6
قضية	6
كامرأة	6
لأنني	6
لكنني	6
لكنه	6
لماذا	6
لمدة	6
محمد	6
مواجهة	6
نص	6
نظام	6
وكانت	6
وكراهية	6
يتحدث	6
يقولون	6
آننا	5
آنهم	5
أصبحت	5
أكن	5
أولا	5
الأحيان	5
الأشخاص	5
الأعلام	5
الأقاليم	5
البيض	5
التاسع	5
التعليم	5
التغيير	5
التمثيلات	5
التنوع	5
التونسيين	5
الثاني	5
الدمشقي	5
الدول	5
الزمن	5
السبعة	5
الصورة	5
العدالة	5
العصر	5
الكبري	5
الكبير	5
الكلمات	5
المسلمين	5
المنطقة	5
النبي	5
النشطاء	5
الواقع	5
ايها	5
بدا	5
بهذا	5
بيد	5
تعالى	5
